,items,type,veg/non-veg,Calcium,Calories,Carbohydrates,Carotene Vitamin A,Chlorine,Choline,Chromium,Copper,Fat,Fibre,Folic Acid Free,Iron,Magnesium,Manganese,Molybdenum,Niacin B3,Phosphorus,Potassium,Protein,Pyridoxin B6,Riboflavin B2,Sodium,Sulphur,ThiamineB1,Vitamin C,Water,Zink,Vitamin A RAE,Quantity
114,Sabudana (Sago),,,10,351,87.1,0,0,0,0,0,0.2,0,0,1.3,0,0,0,0,10,0,0.2,0,0,0,0,0,0,12.2,0,0,Amount per 100 g. of edible portion
115,Saijan ki Phalli (Drumsticks),,,30,26,3.7,110,423,0,0,0.01,0.1,4.8,0,0.18,28,0.05,0,0.2,110,260,2.5,0,0.07,0,137,0.05,120,87,0.16,9,Amount per 100 g. of edible portion
116,Santra (Orange),f,,26,48,10.9,1104,5,0,0,0.58,0.2,0.3,0,0.32,9,0,0,0,20,9.3,0.7,0,0,4.5,7,0,30,87.6,0,92,Amount per 100 g. of edible portion
117,Santra Ras (Orange Juice),j,,5,9,1.9,15,0,0,0,0,0.1,0,0,0.7,0,0,0,0.4,9,0,0.2,0,0.02,0,0,0.06,64,97.7,0,1,Amount per 100 g. of edible portion
118,Sardine(Pedva),s,nv,90,101,0,0,0,0,0,0,1.9,0,0,2.5,0,0,0,2.6,360,0,21,0,0,0,0,0,0,78.1,0,0,Amount per 100 g. of edible portion
119,Seetafal (Cust. Apple),f,,17,104,23.5,0,0,0,0.03,0.43,0.4,3.1,0,4.3,84,0.64,0,1.3,37,0,1.6,0,0.17,0,0,0.07,37,70.5,0.8,0,Amount per 100 g. of edible portion
120,Shakarkand (Sweet Potato),f,,46,120,28.2,6,0,0,0.01,0.02,0.3,0.8,0,0.2,27,0.22,0,0.7,50,393,1.2,0,0.04,9,0,0.08,24,68.5,0.11,1,Amount per 100 g. of edible portion
121,Shark(Waghsheer),,,357,93,0.8,0,0,0,0,0,0.4,0,0,1.4,0,0,0,2.5,262,0,21.6,0,0,0,0,0,0,76,0,0,Amount per 100 g. of edible portion
122,Shepu Bhaji,,,190,37,5.2,7182,0,25,0,0,0.5,1.1,0,17.4,0,0,0,0.2,42,0,3,0,0.13,0,0,0.03,0,88,0,599,Amount per 100 g. of edible portion
123,Simlamirchi (Capsicum),,,10,24,4.3,427,0,0,0.01,0.12,0.3,1,0,0.57,12,0.06,0,0.1,30,0,1.3,0,0.05,0,0,0.55,137,92.4,0.13,36,Amount per 100 g. of edible portion
124,Singhala (Arius Dussumieri) Fish,s,nv,71,126,0,0,0,0,0,0,4,0,0,5.4,0,0,0,1.2,572,0,22.5,0,0,0,0,0,0,72.7,0,0,Amount per 100 g. of edible portion
