,meal,Calcium,Calories,Carbohydrates,Fat,Iron,Niacin Vitamin B3,Protein,Riboflavin Vitamin B2,Thiamine Vitamin B1,Vitamin A RAE,Quantity,type,veg/non-veg
252,Urad Sabur Special,102,373,23.8,26.8,2,0.9,9.2,0.11,0.2,36,Amount per 1 Bowl,s,
253,Urad Sp. Dehusked Dry,78,94,3.3,5.5,1.5,0.9,7.9,0.08,0.19,7,Amount per 1 Curry Bowl,s,
254,Uttapam,55,316,51.6,8.7,2.1,2.5,7.8,0.1,0.2,39,Amount per 2,b,
255,Vanila Ice Cream,90,288,18.2,22.9,0.2,0.1,2.3,0.14,0.03,35,Amount per 1 Ice Cream Cup,d,
256,Vegetable Cutlets,36,216,26.2,10.3,1.2,1,4.6,0.02,0.13,50,Amount per 2 Pcs.,b,
257,Vegetable Nargisi Kofta Curry,188,394,6.8,33.1,2,2.6,17.1,0.06,0.3,12,Amount per 1 Bowl,s,
258,Vegetable Pakoras,49,333,26.2,21.9,2.3,1.3,7.8,0.13,0.19,97,Amount per 6 Pcs.,b,
259,Vegetable Poha (Rice Flakes),21,202,24.7,9.3,4.6,3.1,4.9,0.03,0.18,9,Amount per 1 Bowl,b,
260,Vegetable Samosas,21,202,24.7,9.3,4.6,3.1,4.9,0.03,0.18,9,Amount per 1 Bowl,b,
261,Vegetable Upma,21,202,24.7,9.3,4.6,3.1,4.9,0.03,0.18,9,Amount per 1 Bowl,b,
262,Vegetarian Seekh Kabab,21,202,24.7,9.3,4.6,3.1,4.9,0.03,0.18,9,Amount per 1 Bowl,b,
263,Vermicilli Porridge (Sevaiya Kheer),21,202,24.7,9.3,4.6,3.1,4.9,0.03,0.18,9,Amount per 1 Bowl,d,
264,Vermicilli Upama (Rawa Upma),21,202,24.7,9.3,4.6,3.1,4.9,0.03,0.18,9,Amount per 1 Bowl,b,
265,Zeera Pulao,21,202,24.7,9.3,4.6,3.1,4.9,0.03,0.18,9,Amount per 1 Bowl,n,
